#
# Measured lead concentrations in moss samples from Galicia, Spain, in the year 2000
#
     x       y   z
605370 4840339 1.9
619851 4840170 2.7
574784 4825394 4.7
589356 4825236 2.8
605943 4824406 2.6
620199 4824575 4.6
635504 4824874 3.1
650079 4822774 1.9
575644 4810384 2.9
589637 4810469 2.8
605242 4811759 2.7
620054 4809832 2.5
634623 4809872 1.8
650416 4810019 2.3
515011 4794561 2.1
530490 4795099 1.7
545329 4795116 4.6
559918 4795322 3.7
574481 4795036 1.8
590717 4795632 2.3
604990 4795647 1.7
620629 4795352 1.6
635237 4795254 2.5
649066 4796168 1.9
664394 4795715 1.7
500540 4779879 1.4
515933 4779878 2.0
530219 4780463 1.7
545478 4780668 2.1
560499 4779817 2.9
575760 4780267 2.9
589724 4780031 7.7
605719 4779602 1.5
619997 4780076 1.1
634756 4780657 1.3
648935 4780248 2.0
665883 4779888 2.4
485106 4764258 3.0
499738 4764283 1.7
514941 4763821 2.0
528895 4765422 1.2
545773 4765259 1.7
560304 4764675 1.7
575286 4764272 1.9
604838 4765264 1.3
620036 4764670 1.7
635173 4764988 1.9
649105 4763764 2.1
666644 4763563 1.7
499963 4750173 2.1
530073 4748961 1.6
544907 4750800 1.7
559768 4750038 1.4
574954 4749837 1.6
589725 4749900 1.4
604692 4749280 1.4
619991 4750253 1.8
634971 4749982 1.9
650290 4750014 1.3
663963 4750491 1.2
679446 4750584 1.4
514768 4735131 3.6
560092 4735215 1.4
574807 4735376 1.2
589935 4735031 1.1
605200 4734985 1.0
620441 4735131 2.1
634461 4735268 1.3
649667 4734372 1.7
665706 4735449 1.0
500254 4719942 2.3
530278 4719569 2.8
545240 4720437 8.7
559978 4720271 3.5
574692 4719743 1.2
588610 4720359 1.0
604925 4719858 0.9
620061 4720103 1.1
633458 4721976 1.5
649472 4720156 1.8
664857 4720288 1.3
529940 4705156 3.6
544695 4704987 4.8
560026 4705304 1.0
574566 4705081 1.5
590291 4704985 3.1
602839 4706071 1.3
620052 4704564 1.2
635524 4705277 1.2
649834 4704772 1.9
668345 4705375 1.8
680488 4706766 1.1
530284 4689857 6.0
545172 4690069 2.5
560224 4689874 1.6
575109 4690174 1.5
590063 4690200 2.6
604783 4690015 3.2
620145 4689978 1.2
634325 4690087 1.3
650050 4689879 1.9
666160 4689524 2.5
691243 4698574 1.3
544684 4675184 3.0
560457 4674955 2.4
605421 4674412 1.6
618554 4675127 1.9
635543 4676715 1.3
651133 4676285 1.5
664719 4675052 1.9
677681 4675972 3.0
514765 4660239 3.2
544723 4659834 2.8
559246 4660281 1.7
576241 4662052 1.4
590242 4660059 1.3
621309 4660783 1.7
650620 4660451 1.7
664894 4659688 1.5
514654 4645081 2.7
529879 4645878 2.9
545695 4645878 2.9
590229 4644870 0.8
605083 4645230 1.4
619783 4645525 2.1
635890 4644637 2.3
665188 4645224 1.6
558758 4631279 2.9
620282 4631768 1.2
633882 4630500 1.6
666725 4630899 1.7
569451 4617348 4.5
